Month and Year,Cultivation of crops and animal husbandry; hunting and related service activities,Forestry and logging,Fishing and aquaculture,Coal mining,Crude oil and natural gas production,Metallurgy and metallurgy,Mining and processing of other raw materials from the ground,Mining services,Food production,Manufacture of beverages,Manufacture of textiles,Clothing making,Manufacture of leather and leather products,Manufacture of wood and of products of wood and cork; except furniture; manufacture of articles of straw and plaiting materials,Manufacture of paper and paper products,Printing and duplication of recorded material,Production of coke and refined petroleum products,Manufacture of chemicals and chemical products,Manufacture of pharmaceutical preparations and preparations,Manufacture of rubber and plastic products,Manufacture of non-metallic mineral products,Manufacture of basic metals,Manufacture of fabricated metal products; except machinery and equipment,Manufacture of computer; electronic and optical products,Manufacture of electrical and household appliances,Manufacture of other machinery and equipment nec,Manufacture of motor vehicles and trailers,Manufacture of other vehicles,Manufacture of furniture and fittings,Production; nec,Repair and installation of hardware and equipment,Electricity; gas and heating utilities; refrigeration and ventilation systems,Water supply; collection and treatment of water,Garbage collection; treatment and disposal of waste; material reuse,Decontamination and other waste treatment services,Housing construction; development of construction projects,Civil engineering,Specialized construction activities,Sale; repair and maintenance of motor vehicles and trailers,Wholesale trade; except of motor vehicles and motorcycles,Retail trade; except of motor vehicles and motorcycles,Land transport and by pipeline,Transport by sea and waterways,Air transportation,Warehousing and support activities for transport,Post and courier services,Operation of accommodation,Catering and service,Publishing activities,Production of films; videos and television material; audio recording and music publishing,Radio and television broadcasting; programming,Telecommunications,Information technology services,Information service activities,Financial services; excluding the activities of insurance companies and pension funds,Insurance companies; reinsurance companies and pension funds; other than compulsory social security,Activities related to financial services and insurance,Real estate,Legal services and accounting,Headquarters operations; operations consultancy activities,Activities of architects and engineers; technical tests and analysis,Scientific research and development,Advertising and marketing research,Other professional; scientific and technical activities,Veterinary medicine,Rental activities; except real estate leasing,Employment agency,Travel agencies; tour operators and other booking services,Security and research activities,Real estate management; cleaning services and ornamental gardening,Office services and other business services,Public administration; defense and social security,Educational activities,Health care,Care in residential homes,Social services without a stay in an institution,Creative arts and entertainment,Museum activities and other cultural activities,Financial risk and betting activities,Sports and leisure activities,Activities of NGOs,Repair of computers and objects for personal and household use,Other service activities,Housekeeping with paid staff,Service activities and home production of various products for personal use,Activities of extra territorial organisations and bodies,Working from home,Student,No work history,Uncertain
March 2019,48,5,169,1,3,2,6,8,554,22,3,13,,21,5,23,,12,19,18,33,34,45,3,2,15,1,11,14,19,17,18,1,36,,282,22,177,165,369,521,116,48,143,209,71,362,428,40,17,24,20,87,15,101,9,8,79,36,54,55,20,18,47,1,120,19,225,51,252,29,240,293,117,110,59,29,8,2,68,51,8,115,,,410,,1,,
April 2019,55,5,164,,3,,7,7,581,23,2,13,,20,6,22,,13,15,17,30,32,46,4,2,19,1,12,13,18,16,15,1,34,,309,23,176,161,387,546,119,47,127,209,74,370,454,43,22,26,18,84,13,101,11,9,82,33,61,57,24,20,51,1,120,23,652,48,256,24,233,297,124,114,58,30,8,2,67,55,7,118,,,167,,1,,
May 2019,56,4,161,,3,,6,10,572,19,2,17,,20,7,23,,15,17,20,27,27,39,4,3,20,1,14,12,20,15,15,1,37,,312,16,180,167,372,541,130,44,115,216,75,375,464,40,23,23,17,96,18,104,10,10,94,33,60,56,24,21,47,1,118,19,573,53,255,22,232,318,120,112,62,33,8,2,71,49,9,115,1,,147,,,2,
June 2019,48,4,178,,3,,7,11,587,22,3,20,,19,8,22,,16,15,20,23,26,45,4,3,19,1,13,11,18,14,17,1,34,,308,13,181,167,375,548,116,39,110,201,73,353,472,37,29,22,17,91,19,115,7,10,87,33,57,55,23,22,46,1,100,20,508,48,264,27,228,349,123,112,78,33,9,1,77,61,12,121,2,,186,,,,
July 2019,50,3,171,,3,1,6,9,553,21,3,23,,18,9,24,,15,16,21,23,26,49,3,3,21,1,13,10,17,18,18,1,35,,312,12,173,171,382,580,113,38,103,226,78,355,482,40,29,27,18,100,18,112,7,10,81,34,61,58,27,24,53,2,93,20,437,48,283,24,239,386,118,128,87,34,9,1,79,66,13,118,1,,189,,,2,
August 2019,45,4,164,,3,1,7,11,543,19,3,19,,17,10,24,,17,15,17,22,28,45,2,3,22,1,12,10,19,20,16,1,35,,299,11,189,181,390,577,118,43,97,241,80,351,488,39,29,28,20,106,19,120,9,12,85,37,59,58,26,21,53,1,95,22,372,56,279,26,243,358,104,125,76,33,8,1,72,69,11,109,,,179,,,1,
September 2019,45,4,148,,3,2,7,16,547,17,4,16,,17,10,24,,18,16,17,21,26,45,3,2,22,1,11,9,19,18,12,1,36,,291,15,197,188,369,556,121,45,134,243,82,370,494,35,26,27,23,100,18,118,14,11,84,39,56,60,25,21,64,,99,24,306,56,287,29,246,309,111,131,74,32,9,1,73,68,10,97,,,176,,,,
October 2019,45,5,164,,4,2,7,15,578,25,2,17,1,16,12,22,,17,14,19,24,32,43,4,2,23,2,11,10,16,24,13,1,37,,318,19,229,193,402,585,131,54,241,250,90,395,554,37,25,27,19,102,18,126,12,13,98,41,58,72,25,25,68,,120,25,300,58,288,34,267,308,117,131,83,32,10,1,75,61,12,109,,,234,,,1,
November 2019,58,5,176,,4,1,7,17,652,31,3,25,1,19,10,26,,17,17,18,31,37,47,4,3,23,2,12,10,16,22,15,1,43,,385,31,263,191,420,588,142,63,289,265,95,469,564,32,26,25,21,101,21,130,11,13,105,48,59,74,27,30,72,,149,38,293,63,299,35,277,313,122,141,82,34,6,3,76,67,12,121,,,235,,,,
December 2019,61,3,204,,4,3,7,17,658,31,2,39,1,21,8,28,,17,15,24,38,37,51,4,2,23,3,12,8,16,26,17,1,42,,434,37,297,199,426,604,149,60,296,258,98,494,601,32,26,26,18,95,22,132,11,14,112,44,59,78,26,32,75,,156,46,302,68,321,36,292,309,128,142,77,35,6,3,83,71,12,118,,,221,,,1,
January 2020,69,7,257,,3,2,8,17,720,36,2,53,1,22,9,34,,17,14,27,42,42,63,6,2,32,3,15,8,20,35,27,,42,,513,41,350,213,469,687,164,63,351,285,111,543,651,35,26,23,20,100,23,136,15,14,121,45,64,85,27,34,84,2,162,49,312,69,356,41,320,337,145,153,79,33,9,3,85,78,14,140,1,,302,,,,
February 2020,82,7,244,,3,3,7,16,682,37,4,50,1,24,9,35,,18,9,29,46,43,74,7,3,32,3,14,8,18,34,26,,44,,557,44,351,233,532,695,159,61,334,276,118,578,677,36,29,25,19,102,27,132,14,12,128,43,67,91,28,34,77,2,164,49,311,71,356,39,319,352,144,163,77,35,11,2,91,75,14,154,1,,245,,,,
March 2020,103,8,298,,4,4,13,15,806,44,5,58,2,29,10,47,,25,12,42,54,59,86,7,3,40,5,14,10,23,40,29,1,54,,714,47,455,279,649,891,263,75,321,296,136,766,947,47,58,39,33,121,31,172,19,20,153,58,87,107,32,45,93,3,175,55,481,81,410,54,403,514,193,198,108,79,18,4,152,105,15,326,1,1,1774,,,1,
April 2020,124,10,311,,4,5,12,16,896,52,8,57,3,25,10,51,,28,11,42,58,61,98,9,4,43,6,15,12,29,40,28,1,63,,822,46,498,304,750,986,376,87,366,329,144,923,1230,54,87,38,27,130,33,189,16,26,181,64,99,116,35,61,128,4,203,60,643,94,442,63,452,627,318,220,124,120,25,5,173,116,21,489,1,1,1991,,,1,
May 2020,115,8,297,,4,5,12,20,902,44,6,67,3,30,12,58,,24,9,45,62,62,100,8,4,51,6,16,11,39,35,23,1,55,,772,39,485,302,742,987,464,89,390,352,141,1105,1303,56,89,37,30,135,34,200,15,32,193,71,117,117,38,65,141,3,238,56,684,90,460,63,446,599,215,206,123,137,22,4,182,127,18,333,1,,1597,,,1,
June 2020,104,5,310,,4,3,13,23,913,44,6,69,1,28,11,60,,24,10,43,57,60,99,8,4,59,7,20,8,38,42,22,1,57,,740,32,464,315,744,995,459,88,538,387,147,1213,1361,59,78,41,30,144,35,207,13,29,194,83,128,123,42,73,144,3,244,69,707,114,494,63,457,620,183,206,138,137,25,4,212,137,15,267,1,,1044,,1,2,
July 2020,102,6,304,,4,4,13,37,937,47,4,80,2,25,13,60,,29,13,47,59,64,99,9,4,61,7,17,9,40,57,21,1,53,,713,32,466,320,794,1073,455,91,1101,438,150,1455,1343,62,69,46,36,151,38,216,23,28,192,79,123,136,38,69,141,3,271,68,822,119,489,67,468,627,184,219,149,129,24,5,250,141,16,248,1,,695,,,3,
August 2020,111,8,306,,3,5,13,49,950,46,4,87,2,24,13,64,,31,15,45,55,70,101,9,4,64,6,16,9,39,58,26,1,53,,711,30,475,336,816,1054,495,99,1191,420,148,1574,1356,57,68,50,37,172,44,245,17,26,212,84,123,150,41,73,151,2,285,73,911,125,495,58,530,612,197,221,137,120,24,5,305,151,18,250,2,,723,1,,1,
